         1190349 function calls (1189924 primitive calls) in 66.127 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5330    0.001    0.000    0.002    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/builder/__init__.py:636(set_up_substitutions)
       38    0.000    0.000    0.002    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/connection.py:335(putrequest)
       42    0.000    0.000    0.002    0.000 /usr/lib/python3.13/asyncio/threads.py:12(to_thread)
      367    0.000    0.000    0.002    0.000 /usr/lib/python3.13/html/parser.py:123(set_cdata_mode)
      519    0.000    0.000    0.002    0.000 /usr/lib/python3.13/asyncio/queues.py:125(put)
     6232    0.001    0.000    0.002    0.000 /usr/lib/python3.13/html/__init__.py:122(unescape)
      955    0.001    0.000    0.002    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/filter.py:612(_attribute_match)
      147    0.000    0.000    0.002    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/sessions.py:61(merge_setting)
     3420    0.001    0.000    0.002    0.000 /usr/lib/python3.13/urllib/parse.py:692(unquote)
      113    0.000    0.000    0.002    0.000 /usr/lib/python3.13/http/cookiejar.py:1599(make_cookies)
       23    0.001    0.000    0.002    0.000 /usr/lib/python3.13/ssl.py:1361(_real_close)
       24    0.000    0.000    0.002    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/element.py:2249(__getattr__)
      571    0.001    0.000    0.002    0.000 /usr/lib/python3.13/email/_policybase.py:301(header_source_parse)
      304    0.001    0.000    0.001    0.000 /usr/lib/python3.13/email/message.py:498(get)
       38    0.000    0.000    0.001    0.000 /usr/lib/python3.13/http/client.py:1138(putrequest)
       21    0.000    0.000    0.001    0.000 /usr/lib/python3.13/asyncio/base_events.py:887(run_in_executor)
       38    0.000    0.000    0.001    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/response.py:577(__init__)
     1112    0.001    0.000    0.001    0.000 /usr/lib/python3.13/asyncio/base_events.py:852(_call_soon)
      148    0.001    0.000    0.001    0.000 /usr/lib/python3.13/urllib/parse.py:469(urlsplit)
       38    0.001    0.000    0.001    0.000 /usr/lib/python3.13/http/client.py:213(_read_headers)
     4633    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
       24    0.000    0.000    0.001    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/element.py:2684(find)
      439    0.000    0.000    0.001    0.000 <frozen _collections_abc>:808(get)
      152    0.000    0.000    0.001    0.000 /usr/lib/python3.13/email/message.py:600(get_content_type)
       21    0.001    0.000    0.001    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/models.py:909(text)
